epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,265.409,0.49597,0.27992,0.86692,0.9734,0.98667,0.99369,0.7884,0.59874,0.24801,0.71881,0.000712751,0.000712751,0.000712751
112,267.704,0.49553,0.27564,0.89798,0.98428,0.98333,0.99389,0.79446,0.58998,0.24898,0.7173,0.000699965,0.000699965,0.000699965
113,269.979,0.47673,0.29187,0.85748,0.98569,0.98058,0.99373,0.78659,0.59767,0.24914,0.71484,0.000687214,0.000687214,0.000687214
114,272.343,0.46784,0.25759,0.84972,0.98452,0.98667,0.9938,0.81505,0.5659,0.25121,0.72575,0.000674502,0.000674502,0.000674502
115,274.616,0.44734,0.2656,0.86041,0.98425,0.98667,0.99392,0.80895,0.55024,0.24582,0.71163,0.000661831,0.000661831,0.000661831
116,276.979,0.4823,0.2545,0.84368,0.9812,0.98755,0.99385,0.81254,0.54786,0.23749,0.71439,0.000649204,0.000649204,0.000649204
117,279.336,0.4815,0.27263,0.86719,0.97983,0.99333,0.99378,0.81536,0.53081,0.24133,0.71755,0.000636625,0.000636625,0.000636625
118,281.619,0.44462,0.24466,0.84922,0.97625,0.99,0.99316,0.78872,0.57687,0.24863,0.71215,0.000624096,0.000624096,0.000624096
119,283.84,0.4422,0.24593,0.85913,0.98458,0.99236,0.99396,0.8179,0.53533,0.23988,0.70773,0.000611621,0.000611621,0.000611621
120,286.074,0.45304,0.27209,0.86108,0.96605,0.99247,0.99329,0.80693,0.54762,0.24482,0.71298,0.000599203,0.000599203,0.000599203
121,288.458,0.45624,0.27561,0.86117,0.98816,0.9868,0.99417,0.80566,0.57132,0.2538,0.71727,0.000586845,0.000586845,0.000586845
122,290.83,0.45241,0.25384,0.85713,0.98413,0.98667,0.99415,0.81171,0.56062,0.23968,0.71831,0.00057455,0.00057455,0.00057455
123,293.128,0.46712,0.2397,0.8533,0.97588,0.98667,0.99406,0.81111,0.55603,0.24985,0.71075,0.00056232,0.00056232,0.00056232
124,295.5,0.44359,0.23933,0.8654,0.98364,0.98667,0.99369,0.8113,0.55379,0.24895,0.71702,0.00055016,0.00055016,0.00055016
125,297.797,0.45906,0.28318,0.85794,0.97927,0.98667,0.99359,0.81375,0.55263,0.25952,0.71313,0.000538072,0.000538072,0.000538072
126,300.183,0.45454,0.25526,0.85679,0.9844,0.98498,0.99365,0.81151,0.54591,0.24947,0.70105,0.000526058,0.000526058,0.000526058
127,302.465,0.45286,0.25206,0.87191,0.98723,0.97807,0.99373,0.8099,0.53066,0.23686,0.69952,0.000514122,0.000514122,0.000514122
128,304.879,0.45787,0.24317,0.86289,0.97726,0.98667,0.99373,0.81724,0.55999,0.24365,0.71565,0.000502268,0.000502268,0.000502268
129,307.183,0.46381,0.26477,0.8476,0.98392,0.9859,0.99396,0.81584,0.55387,0.25012,0.71154,0.000490497,0.000490497,0.000490497
130,309.549,0.46601,0.28084,0.84075,0.97487,0.98672,0.99365,0.79691,0.5705,0.24392,0.7123,0.000478813,0.000478813,0.000478813
131,312.016,0.44764,0.25296,0.88891,0.97801,0.99,0.9936,0.81501,0.55514,0.23718,0.71125,0.000467218,0.000467218,0.000467218
132,314.442,0.43084,0.26056,0.83636,0.98143,0.9841,0.99344,0.818,0.53101,0.22205,0.70781,0.000455716,0.000455716,0.000455716
133,316.736,0.43471,0.25014,0.85426,0.97959,0.98333,0.99352,0.80179,0.55826,0.23633,0.71378,0.000444309,0.000444309,0.000444309
134,318.998,0.42522,0.22894,0.85154,0.9813,0.98784,0.99392,0.80683,0.53005,0.22654,0.71575,0.000433,0.000433,0.000433
135,321.235,0.45061,0.24297,0.86067,0.98116,0.9835,0.99364,0.81109,0.58154,0.26544,0.74116,0.000421792,0.000421792,0.000421792
136,323.62,0.46652,0.23771,0.84827,0.98088,0.9915,0.99388,0.79775,0.55082,0.26419,0.72476,0.000410687,0.000410687,0.000410687
137,325.922,0.45567,0.24724,0.8512,0.98581,0.98333,0.99384,0.80043,0.52754,0.2582,0.71772,0.000399689,0.000399689,0.000399689
138,328.179,0.43819,0.23996,0.83897,0.98319,0.98333,0.99382,0.80868,0.55647,0.24753,0.71806,0.000388801,0.000388801,0.000388801
139,330.555,0.43565,0.30281,0.83838,0.98466,0.98495,0.99401,0.81527,0.53486,0.22029,0.71121,0.000378023,0.000378023,0.000378023
140,332.803,0.42836,0.24999,0.84903,0.98205,0.97333,0.99336,0.81995,0.52139,0.21156,0.70937,0.000367361,0.000367361,0.000367361
141,335.109,0.41811,0.28895,0.84291,0.98328,0.98333,0.99334,0.82898,0.50998,0.21482,0.70636,0.000356815,0.000356815,0.000356815
142,337.523,0.39462,0.21785,0.84981,0.98522,0.98333,0.9937,0.824,0.51199,0.21786,0.70524,0.000346389,0.000346389,0.000346389
143,339.786,0.44685,0.24283,0.84008,0.98031,0.98333,0.99354,0.82367,0.51533,0.22122,0.70666,0.000336086,0.000336086,0.000336086
144,342.165,0.41649,0.24181,0.86451,0.9881,0.98333,0.99333,0.82379,0.50829,0.22026,0.70413,0.000325907,0.000325907,0.000325907
145,344.417,0.42736,0.2332,0.85791,0.98163,0.9871,0.99341,0.818,0.5083,0.21247,0.70544,0.000315855,0.000315855,0.000315855
146,346.883,0.42831,0.22092,0.83266,0.98472,0.98468,0.99342,0.81365,0.51679,0.21449,0.70729,0.000305933,0.000305933,0.000305933
147,349.109,0.40998,0.2198,0.8428,0.97414,0.98667,0.99307,0.81422,0.55396,0.22844,0.71438,0.000296144,0.000296144,0.000296144
148,351.387,0.43744,0.23925,0.84621,0.97833,0.98124,0.99344,0.81925,0.55201,0.22783,0.72443,0.000286489,0.000286489,0.000286489
149,353.634,0.42006,0.22717,0.83013,0.97922,0.98667,0.99334,0.81867,0.53023,0.22553,0.72054,0.000276971,0.000276971,0.000276971
150,355.873,0.40962,0.26127,0.83708,0.98196,0.98667,0.99358,0.82013,0.52692,0.22248,0.71869,0.000267592,0.000267592,0.000267592
151,358.131,0.41861,0.22333,0.82964,0.98405,0.98667,0.99367,0.82331,0.52052,0.22474,0.71089,0.000258355,0.000258355,0.000258355
152,360.506,0.39544,0.21273,0.83634,0.98452,0.98667,0.99354,0.8196,0.51662,0.22256,0.70647,0.000249262,0.000249262,0.000249262
153,362.753,0.42018,0.22904,0.85858,0.98483,0.98507,0.99363,0.81333,0.52146,0.21247,0.70464,0.000240316,0.000240316,0.000240316
154,365.021,0.41875,0.21586,0.84027,0.97638,0.98333,0.99332,0.81775,0.51488,0.21865,0.70138,0.000231517,0.000231517,0.000231517
155,367.276,0.40194,0.22132,0.8399,0.98833,0.97629,0.9932,0.82177,0.49749,0.20997,0.69646,0.00022287,0.00022287,0.00022287
156,369.527,0.41002,0.21739,0.84469,0.98486,0.98498,0.99355,0.82205,0.49279,0.2072,0.69594,0.000214375,0.000214375,0.000214375
157,371.869,0.39193,0.21682,0.83232,0.985,0.98399,0.99372,0.82077,0.50272,0.20724,0.69836,0.000206034,0.000206034,0.000206034
158,374.113,0.42398,0.22613,0.86711,0.98506,0.98394,0.99362,0.81952,0.50001,0.20573,0.69626,0.000197851,0.000197851,0.000197851
159,376.407,0.40349,0.22566,0.83739,0.98309,0.98333,0.99364,0.8239,0.49102,0.20821,0.6989,0.000189827,0.000189827,0.000189827
160,378.803,0.39983,0.19578,0.82648,0.9852,0.98333,0.99375,0.81732,0.49446,0.20715,0.69992,0.000181963,0.000181963,0.000181963
161,381.04,0.40225,0.23966,0.85523,0.98491,0.98333,0.99385,0.82383,0.49431,0.20667,0.70083,0.000174262,0.000174262,0.000174262
162,383.408,0.40261,0.2099,0.85627,0.9881,0.98577,0.99406,0.82428,0.49163,0.19952,0.7001,0.000166726,0.000166726,0.000166726
163,385.627,0.4158,0.22558,0.83518,0.98655,0.98333,0.99397,0.82303,0.49856,0.19932,0.70043,0.000159357,0.000159357,0.000159357
164,387.887,0.39218,0.20174,0.83855,0.98702,0.98333,0.99375,0.81826,0.51112,0.20366,0.70392,0.000152156,0.000152156,0.000152156
165,390.211,0.40645,0.2061,0.83901,0.98698,0.98333,0.99381,0.81974,0.51157,0.20771,0.70293,0.000145125,0.000145125,0.000145125
166,392.475,0.37053,0.21167,0.83185,0.98097,0.98,0.99342,0.82454,0.49245,0.2017,0.69461,0.000138266,0.000138266,0.000138266
167,394.88,0.36368,0.26232,0.86788,0.97897,0.98333,0.99367,0.82388,0.48735,0.19774,0.69312,0.000131581,0.000131581,0.000131581
168,397.153,0.39428,0.20321,0.83187,0.98285,0.98333,0.99366,0.82139,0.49271,0.19846,0.69362,0.000125071,0.000125071,0.000125071
169,399.434,0.37878,0.21309,0.84266,0.98026,0.98333,0.99341,0.82286,0.48917,0.20258,0.69454,0.000118737,0.000118737,0.000118737
170,401.653,0.38688,0.23258,0.82988,0.98227,0.98667,0.99374,0.82502,0.48833,0.2046,0.69193,0.000112583,0.000112583,0.000112583
171,403.93,0.37495,0.20492,0.82434,0.97818,0.98825,0.99378,0.82669,0.47822,0.19906,0.69041,0.000106608,0.000106608,0.000106608
172,406.203,0.3844,0.20053,0.84145,0.97774,0.98667,0.99387,0.8231,0.48224,0.19876,0.69229,0.000100814,0.000100814,0.000100814
173,408.562,0.38098,0.20732,0.8467,0.98244,0.98667,0.9939,0.82565,0.47736,0.19587,0.69426,9.52034e-05,9.52034e-05,9.52034e-05
174,410.786,0.38292,0.2123,0.85088,0.98152,0.99,0.99413,0.83084,0.47166,0.18973,0.69273,8.97769e-05,8.97769e-05,8.97769e-05
175,413.051,0.38764,0.21377,0.83698,0.97757,0.99012,0.9941,0.82972,0.47998,0.18975,0.69245,8.4536e-05,8.4536e-05,8.4536e-05
176,415.293,0.39534,0.20382,0.82804,0.98392,0.98667,0.99384,0.82602,0.48745,0.19061,0.6941,7.94819e-05,7.94819e-05,7.94819e-05
177,417.652,0.38804,0.2207,0.86392,0.97753,0.99314,0.99406,0.82665,0.4794,0.19022,0.6926,7.4616e-05,7.4616e-05,7.4616e-05
178,419.909,0.37328,0.18398,0.83466,0.96812,0.99653,0.99394,0.82688,0.4696,0.188,0.69085,6.99393e-05,6.99393e-05,6.99393e-05
179,422.14,0.41547,0.23114,0.83162,0.98461,0.98667,0.99391,0.82455,0.47789,0.19201,0.69072,6.54531e-05,6.54531e-05,6.54531e-05
180,424.504,0.37936,0.24429,0.83854,0.9682,0.99719,0.9939,0.82064,0.49184,0.19654,0.69337,6.11585e-05,6.11585e-05,6.11585e-05
